Продукт,Калорийность,Белки,Жиры,Углеводы
� костей) с лимонно-чесночным ароматом",118 кКал,"17,83 г","4,16 г","1,79 г"
"HORMEL ALWAYS TENDER, свинина, свежая, верхняя часть филе с костью",167 кКал,"18,74 г","9,62 г","0,84 г"
"HORMEL ALWAYS TENDER, свинина, свежая, филе без костей",145 кКал,"19,02 г","7,18 г","0,76 г"
"HORMEL ALWAYS TENDER, свинина, средняя часть филе с араматом черного перца",110 кКал,"17,21 г","3,8 г","1,82 г"
"HORMEL ALWAYS TENDER, свинина, филе с ароматом терияки.",119 кКал,"18,2 г","3,07 г","4,63 г"
"HORMEL, бекон ""по- канадски""",122 кКал,"16,88 г","4,94 г","1,87 г"
"HORMEL, свинина мокрого посола, ветчина",106 кКал,"18,43 г","3,59 г","0,21 г"
Бекон,393 кКал,"13,66 г","37,13 г",0 г
"Бекон слабосолёный, приготовленный",541 кКал,"37,04 г","41,78 г","1,43 г"
"Бекон, жареный на сковороде",468 кКал,"33,92 г","35,09 г","1,7 г"
"Бекон, канадский",110 кКал,"20,31 г","2,62 г","1,34 г"
"Бекон, печеный",548 кКал,"35,73 г","43,27 г","1,35 г"
"Бекон, разогретый в микроволновой печи",476 кКал,"39,01 г","34,12 г","0,48 г"
"Ветчина в собственном соку, верхняя часть окорока на кости",200 кКал,"19,7 г","13,26 г","0,43 г"
"Ветчина в собственном соку, верхняя часть окорока на кости, запечённая",177 кКал,"22,47 г","9,39 г","0,6 г"
"Ветчина в собственном соку, верхняя часть окорока на кости, постное мясо",122 кКал,"22,71 г","3,47 г","0,43 г"
"Ветчина в собственном соку, верхняя часть окорока на кости, постное мясо, запечённая",137 кКал,"24,14 г","4,25 г","0,48 г"
"Ветчина в собственном соку, нарезаная по спирали, постное мясо",109 кКал,"19,25 г","3,26 г","1,22 г"
"Ветчина в собственном соку, нарезанная по спирали",129 кКал,"18,66 г","5,75 г","1,18 г"
"Ветчина в собственном соку, нарезанная по спирали, запечённая",139 кКал,"22,18 г","5,1 г","1,06 г"
"Ветчина в собственном соку, нарезанная по спирали, постное мясо, запечённая",126 кКал,"22,56 г","3,78 г","1,08 г"
"Ветчина в собственном соку, нарезка на кости",159 кКал,"22,82 г","7,4 г","0,17 г"
"Ветчина в собственном соку, нарезка на кости, жареная на сковороде",118 кКал,"20,89 г","3,4 г","1,04 г"
"Ветчина в собственном соку, нарезка на кости, постное мясо",123 кКал,"24,34 г","2,87 г",0 г
"Ветчина в собственном соку, нарезка на кости, постное мясо, жареная на сковороде",150 кКал,"27,75 г","4,38 г",0 г
"Ветчина в собственном соку, нарезка на кости,, обжаренная",180 кКал,"26,18 г","8,28 г","0,17 г"
"Ветчина в собственном соку, нарезка, постное мясо,  жареная на сковороде",116 кКал,"20,95 г","3,16 г","1,05 г"
"Ветчина в собственном соку, окорок в целом",112 кКал,"19,38 г","3,43 г","1,02 г"
"Ветчина в собственном соку, окорок в целом, запечённая",114 кКал,"20,54 г","3,13 г","0,84 г"
"Ветчина в собственном соку, окорок в целом, постное мясо",111 кКал,"19,44 г","3,21 г","1,03 г"
"Ветчина в собственном соку, окорок в целом, постное мясо, запечённая",113 кКал,"20,57 г","3,01 г","0,84 г"
"Ветчина в собственном соку, рулька",191 кКал,"22,35 г","11,11 г","0,32 г"
"Ветчина в собственном соку, рулька, запечённая",191 кКал,"22,88 г","10,93 г","0,33 г"
"Ветчина в собственном соку, рулька, постное мясо",130 кКал,"25,11 г","3,33 г","0,3 г"
"Ветчина в собственном соку, рулька, постное мясо, запечённая",145 кКал,"24,95 г","4,97 г","0,34 г"
Ветчина консервированная,144 кКал,"17,97 г","7,46 г",0 г
"Ветчина консервированная, запечённая",167 кКал,"20,94 г","8,43 г","0,49 г"
Ветчина маложирная,162 кКал,"18,26 г","8,39 г","2,28 г"
"Ветчина постная, нарезка на кости, жареная на сковороде",148 кКал,"27,18 г","4,09 г","0,74 г"
"Ветчина постная, около  4% жира, консервированная",120 кКал,"18,49 г","4,56 г",0 г
"Ветчина постная, около  4% жира, консервированная, обжаренная",136 кКал,"21,16 г","4,88 г","0,52 г"
"Ветчина постная, около 5% жира, запечённая",145 кКал,"20,93 г","5,53 г","1,5 г"
"Ветчина постная, стейк",122 кКал,"19,56 г","4,25 г",0 г
"Ветчина приготовленная с добавлением воды (более 10%), верхняя часть окорока на кости",179 кКал,"16,09 г","12,13 г","1,35 г"
"Ветчина приготовленная с добавлением воды (более 10%), верхняя часть окорока на кости, обжареная",186 кКал,"19,46 г","11,48 г","1,15 г"
"Ветчина приготовленная с добавлением воды (более 10%), верхняя часть окорока на кости, постное мясо",107 кКал,"17,93 г","3,38 г","1,24 г"
"Ветчина приготовленная с добавлением воды (более 10%), верхняя часть окорока на кости, постное мясо, обжаренная",131 кКал,"21,28 г","4,7 г","1,15 г"
"Ветчина приготовленная с добавлением воды (более 10%), нарезка без кости, жареная на сковороде",124 кКал,"15,08 г","5,13 г","4,69 г"
"Ветчина приготовленная с добавлением воды (более 10%), нарезка на кости",149 кКал,"13,69 г","9,29 г","2,72 г"
"Ветчина приготовленная с добавлением воды (более 10%), нарезка на кости, жареная на сковороде",155 кКал,"19,85 г","7,78 г","1,41 г"
"Ветчина приготовленная с добавлением воды (более 10%), нарезка на кости, постное мясо",103 кКал,"14,47 г","3,78 г","2,82 г"
"Ветчина приготовленная с добавлением воды (более 10%), нарезка на кости, постное мясо, жареная на сковороде",122 кКал,"20,9 г","3,63 г","1,35 г"
"Ветчина приготовленная с добавлением воды (более 10%), нарезка, постное мясо без кости, жареная на сковороде",123 кКал,"15,09 г","5,06 г","4,69 г"
"Ветчина приготовленная с добавлением воды (более 10%), окорок в целом, без кости",117 кКал,"14,05 г","4,99 г","4,21 г"
"Ветчина приготовленная с добавлением воды (более 10%), окорок в целом, без кости обжареная",123 кКал,"13,88 г","5,46 г","4,61 г"
"Ветчина приготовленная с добавлением воды (более 10%), окорок в целом, без кости, постное мясо",116 кКал,"14,07 г","4,86 г","4,22 г"
"Ветчина приготовленная с добавлением воды (более 10%), окорок в целом, без кости, постное мясо, обжаренная",123 кКал,"13,88 г","5,46 г","4,61 г"
